Contour Area,Mean,Blinking,Emotion,Music
,,,,
399,nan,1,5,1
,,,,
399,38.55279,0,5,1
,,,,
399,26.916092,1,3,1
,,,,
306,38.89588,1,5,1
,,,,
399,46.346275,0,5,1
,,,,
399,51.565556,1,5,1
,,,,
335,44.484764,1,5,1
,,,,
399,48.811817,1,3,1
,,,,
335,52.23445,1,5,1
,,,,
370,47.081715,1,5,1
,,,,
304,43.039562,0,5,1
,,,,
335,41.211754,1,3,1
,,,,
304,42.67876,1,5,1
,,,,
304,41.2941,0,5,1
,,,,
304,39.82125,0,5,1
,,,,
304,38.383427,1,5,1
,,,,
335,38.394154,0,5,1
,,,,
374,40.831543,0,3,1
,,,,
368,42.794434,1,5,1
,,,,
399,44.53457,1,5,1
,,,,
399,46.19228,1,5,1
,,,,
312,47.733288,0,3,1
,,,,
310,45.559944,1,5,1
,,,,
306,43.557613,1,5,1
,,,,
342.5,41.900368,0,5,1
,,,,
335,40.25427,0,5,1
,,,,
306,38.697685,0,5,1
,,,,
370,37.995842,0,5,1
,,,,
399,39.462795,1,5,1
,,,,
306,38.19514,0,5,1
,,,,
335,36.975273,0,5,1
,,,,
306,36.466934,0,5,1
,,,,
348,37.626823,1,5,1
,,,,
304,36.562065,1,5,1
,,,,
310,36.562065,1,5,1
,,,,
399,36.03687,1,5,1
,,,,
304,37.150696,0,5,1
,,,,
399,36.08552,1,5,1
,,,,
335,35.05969,0,5,1
,,,,
335,34.10676,0,5,1
,,,,
318,33.23432,0,5,1
,,,,
335,33.23432,0,5,1
,,,,
399,34.338364,1,5,1
,,,,
399,35.410145,1,5,1
,,,,
399,34.58468,1,5,1
,,,,
399,35.611874,1,5,1
,,,,
370,36.59894,1,5,1
,,,,
335,35.787064,1,5,1
,,,,
399,34.992435,0,5,1
,,,,
335,34.2767,1,5,1
,,,,
399,35.24961,1,5,1
,,,,
399,36.180687,1,5,1
,,,,
345,35.51547,1,5,1
,,,,
343,34.821545,1,5,1
,,,,
399,nan,1,5,1
,,,,
335,nan,1,5,1
,,,,
337,nan,1,5,1
,,,,
335,37.390697,0,5,1
,,,,
399,25.672487,0,5,1
,,,,
335,44.95034,1,5,1
,,,,
399,33.17483,1,5,1
,,,,
399,29.204756,0,5,1
,,,,
310,37.526955,0,5,1
,,,,
335,34.57896,0,5,1
,,,,
399,37.33086,0,5,1
,,,,
399,34.53618,0,5,1
,,,,
399,32.453964,1,3,1
,,,,
399,33.1997,0,3,1
,,,,
368,35.897186,0,5,1
,,,,
399,34.427006,1,5,1
,,,,
335,35.023983,0,3,1
,,,,
399,32.112713,0,3,1
,,,,
335,28.4852,0,3,1
,,,,
335,31.850405,1,3,1
,,,,
368,29.808039,1,5,1
,,,,
335,28.888973,1,3,1
,,,,
399,30.258497,1,3,1
,,,,
399,30.88896,1,3,1
,,,,
399,29.327393,1,5,1
,,,,
335,27.82321,1,5,1
,,,,
399,30.383097,1,5,1
,,,,
399,34.13391,0,5,1
,,,,
399,32.70231,1,5,1
,,,,
368,32.027794,0,5,1
,,,,
335,33.037727,0,5,1
,,,,
335,32.409122,1,3,1
,,,,
399,31.805662,0,3,1
,,,,
368,32.13074,1,5,1
,,,,
335,30.98212,1,4,1
,,,,
399,30.436993,1,5,1
,,,,
335,31.308252,0,5,1
,,,,
399,31.65522,0,5,1
,,,,
335,31.135641,0,5,1
,,,,
368,30.189823,0,5,1
